certm;0.1.3;Hardcoded;UNKNOWN;keyki;https://github.com/keyki/certm/releases/download/v0.1.3/certm_0.1.3_Linux_x86_64.tgz;CertM is a simple tool to generate TLS certificates and keys.
cert-tool;0.0.1;Hardcoded;UNKNOWN;Evan Hazlett;https://github.com/ehazlett/certm/releases/download/v0.0.1/cert-tool_linux_amd64;CertM is a simple tool to generate TLS certificates and keys.
consul;0.7.3;Hardcoded;UNKNOWN;Hashicorp;https://releases.hashicorp.com/consul/0.7.3/consul_0.7.3_linux_amd64.zip;Automate service-based networking in the cloud.
consul_template;0.16.0;Hardcoded;UNKNOWN;Hashicorp;https://releases.hashicorp.com/consul-template/0.16.0/consul-template_0.16.0_linux_amd64.zip;Automate service-based networking in the cloud.
inverting-proxy-agent;9337444;Hardcoded;Cloudera Standard License;Cloudera Inc.;http://cloudera-build-us-west-1.vpc.cloudera.com/s3/build/9337444/inverting-proxy/1.x/redhat7/yum/tars/inverting-proxy/inverting-proxy-forwarding-agent;Reverse proxy that inverts the direction of traffic between the proxy and the backend servers.
jmx_prometheus_javaagent;0.2.0;Hardcoded;Apache License 2.0;Prometheus;https://repo1.maven.org/maven2/io/prometheus/jmx/jmx_prometheus_javaagent/0.2.0/jmx_prometheus_javaagent-0.2.0.jar;JMX to Prometheus exporter: a collector that can configurably scrape and expose mBeans of a JMX target.
jq;1.5-r5;Hardcoded;MIT license, CC-BY-3.0 license;Stephen Dolan;http://stedolan.github.io/jq/download/linux64/jq;jq is a lightweight and flexible command-line JSON processor.
node_exporter;0.12.0;Hardcoded;Apache License 2.0;Prometheus;https://github.com/prometheus/node_exporter/releases/download/0.12.0/node_exporter-0.12.0.linux-amd64.tar.gz;Prometheus exporter for hardware and OS metrics exposed by *NIX kernels, written in Go with pluggable metric collectors.
prometheus;1.4.1;Hardcoded;Apache License 2.0;Prometheus;https://github.com/prometheus/prometheus/releases/download/v1.4.1/prometheus-1.4.1.linux-amd64.tar.gz;The Prometheus monitoring system and time series database.
saltbootstrap;0.13.4;Hardcoded;Apache License 2.0;Cloudera Inc.;https://github.com/hortonworks/salt-bootstrap/releases/download/v0.13.4/salt-bootstrap_0.13.4_Linux_x86_64.tgz;Tool for bootstrapping VMs launched by Cloudbreak.
